id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party,Cassette King,hip hop,energetic,0.85,95,0.70,0.85,0.08
12,Winter Elegy,Aria Solenne,classical,melancholy,0.30,66,0.28,0.15,0.95
13,Neon Horizon,Pulse Theory,edm,euphoric,0.95,128,0.88,0.92,0.03
14,Slow Confession,Velvet Hours,r&b,romantic,0.50,95,0.68,0.70,0.30
15,Dust Road Home,Marlowe Kane,country,nostalgic,0.55,100,0.62,0.55,0.65
16,Iron Verdict,Ashfall,metal,aggressive,0.98,160,0.35,0.45,0.02
17,Paper Boats,Wren & Willow,folk,hopeful,0.45,108,0.72,0.48,0.88
18,Island Time,Tidal Groove,reggae,laid-back,0.52,90,0.75,0.72,0.40
